id,name,price,image,category,quantity,source,productUrl
2611,Amul Camel Milk,₹25,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982632/blinkit_store/jj8qpblxzshikt8dwive.webp,milk,200 ml,Blinkit,https://blinkit.com/
2612,Yakult Probiotic Drink,₹90,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982633/blinkit_store/ci5igljmdm4zosh2tqyk.webp,milk,5 x 65 ml,Blinkit,https://blinkit.com/
2613,Yakult Light Probiotic Drink,₹100,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982635/blinkit_store/rro0pklfz5k0snfpawlt.webp,milk,5 x 65 ml,Blinkit,https://blinkit.com/
2614,Yakult Light Mango Probiotic Fermented Milk Drink,₹100,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982637/blinkit_store/yrepvepq73offxxjrkfo.webp,milk,5 x 65 ml,Blinkit,https://blinkit.com/
2615,Amul Kool Kesar Flavoured Milk,₹25,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982638/blinkit_store/duooo84hxhmkzxxh1bf0.webp,milk,180 ml,Blinkit,https://blinkit.com/
2616,190 g,₹79,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982640/blinkit_store/jubvctynuur0sxurtzg6.webp,milk,N/A,Blinkit,https://blinkit.com/
2617,So Good Natural Unsweetened Almond Beverage,₹67,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982641/blinkit_store/he2roj9nfez0owdcucyl.webp,milk,200 ml,Blinkit,https://blinkit.com/
2618,Nestle Milkmaid Partly Skimmed Sweetened Condensed Milk,₹140,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982643/blinkit_store/pk1f2zfkyx8jwibwaase.webp,milk,380 g,Blinkit,https://blinkit.com/
2619,Hommade Coconut Milk,₹81,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982644/blinkit_store/s8l49covnapt2jd3xnv4.webp,milk,200 ml,Blinkit,https://blinkit.com/
2620,Amul Kool Badam Flavoured Milk,₹25,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982646/blinkit_store/cuhcpgb11pwdpjtu3zjv.webp,milk,180 ml,Blinkit,https://blinkit.com/
2621,Smoodh Chocolate Dairy Based Flavoured Milk (Pet Bottle),₹18,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982648/blinkit_store/hsulniyyefj9ew9amq9r.webp,milk,150 ml,Blinkit,https://blinkit.com/
2622,Amul Kool Badam Milkshake,₹40,No Image Found,milk,200 ml,Blinkit,https://blinkit.com/
2623,Amul Pure Milk Cheese Block,₹245,No Image Found,milk,400 g,Blinkit,https://blinkit.com/
2624,Mother Dairy Chocolate Milkshake,₹23,No Image Found,milk,180 ml,Blinkit,https://blinkit.com/
2625,So Good Unsweetened Almond Beverage,₹241,No Image Found,milk,1 ltr,Blinkit,https://blinkit.com/
2626,Smoodh Chocolate Hazelnut Flavoured Milk (Pet Bottle),₹18,No Image Found,milk,150 ml,Blinkit,https://blinkit.com/
2627,Amul Kool Classic Latte Flavoured Milk,₹40,No Image Found,milk,200 ml,Blinkit,https://blinkit.com/
2628,Harvest Gold 100% Atta Whole Wheat Bread,₹65,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982649/blinkit_store/o2nyjmwkuxmsjpslsksm.webp,bread,450 g,Blinkit,https://blinkit.com/
2629,Harvest Gold White Bread,₹33,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982651/blinkit_store/kr2wa5jitskkvr6vd3nu.webp,bread,350 g,Blinkit,https://blinkit.com/
2631,Harvest Gold Hearty Brown Bread,₹60,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982652/blinkit_store/xwjtlvn3gbpjlzj2newp.webp,bread,400 g,Blinkit,https://blinkit.com/
2632,The Health Factory Zero Maida Whole Wheat Bread,₹55,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982653/blinkit_store/mtr8nhbkwbditvjfisbc.webp,bread,250 g,Blinkit,https://blinkit.com/
2633,English Oven Zero maida 100% Atta/ Wheat Bread,₹60,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982655/blinkit_store/akf3dt2wbpbhigvsjgtq.webp,bread,400 g,Blinkit,https://blinkit.com/
2634,Theobroma Zero Maida Multigrain Bread,₹67,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982656/blinkit_store/mo7tmmdlr7t0sqg2xhpf.webp,bread,250 g,Blinkit,https://blinkit.com/
2635,English Oven Zero Maida Multigrain Bread,₹65,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982658/blinkit_store/xe4oedbo9kli92s7s6uo.webp,bread,400 g,Blinkit,https://blinkit.com/
2636,"Protein Chef 42g Protein Multigrain Bread (Wheat Bread, No Maida)",₹69,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982659/blinkit_store/iqlpjoz8r3ubnbw4klgz.webp,bread,270 g,Blinkit,https://blinkit.com/
2637,English Oven Premium White Bread,₹60,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982661/blinkit_store/qcmvmw2wbcv8sif0no0u.webp,bread,700 g,Blinkit,https://blinkit.com/
2638,English Oven Premium White Bread 350 g,₹33,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982663/blinkit_store/kltdampcm3xi6jdw0ko0.webp,bread,350 g,Blinkit,https://blinkit.com/
2639,English Oven Brown Bread,₹60,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982665/blinkit_store/pvdcivfhxltns0xt6ffr.webp,bread,400 g,Blinkit,https://blinkit.com/
2640,Baker's Loaf Whole Wheat Bread,₹77,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982666/blinkit_store/p0l1wibhihoopy7hspnd.webp,bread,350 g,Blinkit,https://blinkit.com/
